y_t,t_1,t_2,Us_Dollar_Index,US10YY,US2YY,Unemployment_Rate,CPI,PMI_Index,VIX_Index,EFFR,gold,Nfarm
2104.50,1994.99,2058.90,94.80,1.639,0.453,5.60,0.80,55.50,21.02,0.06,1282.80,257
2067.89,2104.50,1994.99,95.32,1.997,0.622,5.70,-0.10,53.50,15.82,0.06,1212.55,295
2085.51,2067.89,2104.50,98.36,1.927,0.559,5.50,0.00,52.90,16.27,0.06,1183.10,126
2107.39,2085.51,2067.89,94.60,2.035,0.575,5.50,-0.10,51.50,15.52,0.08,1183.85,223
2063.11,2107.39,2085.51,96.91,2.123,0.609,5.40,-0.20,51.50,14.63,0.08,1189.75,280
2103.84,2063.11,2107.39,95.49,2.349,0.645,5.50,0.00,52.80,17.33,0.08,1172.20,223
1972.18,2103.84,2063.11,97.34,2.187,0.669,5.30,0.10,53.50,13.98,0.08,1095.40,215
1920.03,1972.18,2103.84,95.82,2.214,0.739,5.30,0.20,52.70,26.42,0.08,1134.10,173
2079.36,1920.03,1972.18,96.35,2.035,0.629,5.10,0.20,51.10,23.02,0.07,1114.60,142
2080.41,2079.36,1920.03,96.95,2.146,0.728,5.10,0.00,50.20,16.63,0.07,1142.00,271
2043.94,2080.41,2079.36,100.17,2.208,0.934,5.00,0.20,50.10,16.98,0.08,1064.02,211
1940.24,2043.94,2080.41,98.63,2.269,1.052,5.00,0.50,48.60,18.52,0.20,1060.91,292
1932.23,1940.24,2043.94,99.61,1.923,0.778,5.00,0.70,48.20,21.63,0.29,1117.64,151
2059.74,1932.23,1940.24,98.21,1.738,0.785,4.90,1.40,48.20,21.77,0.29,1237.76,242
2065.30,2059.74,1932.23,94.59,1.770,0.725,4.90,1.00,49.50,15.93,0.25,1231.95,215
2096.96,2065.30,2059.74,93.08,1.835,0.782,5.00,0.90,51.80,16.88,0.30,1293.36,160
2098.86,2096.96,2065.30,95.89,1.851,0.883,5.00,1.10,50.80,15.27,0.29,1214.69,38
2173.60,2098.86,2096.96,96.14,1.475,0.586,4.70,1.00,51.30,16.98,0.30,1321.78,287
2170.95,2173.60,2098.86,95.53,1.450,0.659,4.90,1.00,53.20,13.82,0.30,1350.59,255
2168.27,2170.95,2173.60,96.02,1.578,0.809,4.90,0.80,52.60,14.57,0.30,1308.45,151
2126.15,2168.27,2170.95,95.46,1.598,0.766,4.90,1.10,49.40,15.77,0.29,1315.80,156
2198.81,2126.15,2168.27,98.44,1.826,0.845,5.00,1.50,51.50,17.23,0.31,1277.28,161
2238.83,2198.81,2126.15,101.50,2.390,1.119,4.90,1.60,51.90,14.52,0.31,1172.70,178
2278.87,2238.83,2198.81,102.21,2.446,1.198,4.60,1.70,53.20,15.13,0.55,1151.46,156
2363.64,2278.87,2238.83,99.51,2.466,1.212,4.70,2.10,54.70,12.93,0.56,1210.51,227
2362.72,2363.64,2278.87,101.12,2.397,1.264,4.80,2.50,56.00,13.52,0.57,1248.52,235
2384.20,2362.72,2363.64,100.35,2.389,1.262,4.70,2.70,57.70,13.27,0.82,1248.63,98
2411.80,2384.20,2362.72,99.05,2.289,1.270,4.50,2.40,57.20,12.27,0.83,1267.65,211
2423.41,2411.80,2384.20,96.92,2.206,1.286,4.40,2.20,54.80,11.82,0.83,1268.09,138
2470.30,2423.41,2411.80,95.63,2.304,1.386,4.30,1.90,54.90,12.32,1.06,1241.20,222
2471.65,2470.30,2423.41,92.86,2.296,1.355,4.40,1.60,57.80,11.27,1.07,1269.05,209
2519.36,2471.65,2470.30,92.67,2.121,1.329,4.30,1.70,56.30,12.63,1.07,1321.60,156
2575.26,2519.36,2471.65,93.08,2.339,1.491,4.40,1.90,58.80,11.68,1.06,1279.10,-33
2647.58,2575.26,2519.36,94.55,2.378,1.600,4.20,2.20,60.80,11.27,1.07,1271.20,261
2673.61,2647.58,2575.26,93.05,2.415,1.790,4.10,2.00,58.70,11.68,1.07,1274.36,228
2823.81,2673.61,2647.58,92.12,2.405,1.887,4.10,2.20,58.20,11.48,1.33,1302.45,148
2713.83,2823.81,2673.61,89.13,2.713,2.149,4.10,2.10,59.70,13.48,1.34,1344.70,200
2640.87,2713.83,2823.81,90.61,2.864,2.258,4.10,2.10,59.10,18.58,1.35,1317.66,313
2648.05,2640.87,2713.83,89.97,2.741,2.270,4.10,2.20,60.80,19.77,1.67,1324.00,103
2705.27,2648.05,2640.87,91.84,2.955,2.492,4.10,2.40,59.30,16.63,1.69,1314.95,164
2718.37,2705.27,2648.05,93.99,2.860,2.435,3.90,2.50,57.30,15.43,1.70,1297.92,223
2816.29,2718.37,2705.27,94.64,2.860,2.532,3.80,2.80,58.70,16.02,1.91,1252.25,213
2901.52,2816.29,2718.37,94.49,2.962,2.674,4.00,2.90,60.20,14.07,1.91,1223.41,157
2913.98,2901.52,2816.29,95.14,2.860,2.629,3.90,2.90,58.10,14.02,1.91,1200.71,201
2711.74,2913.98,2901.52,95.13,3.065,2.823,3.90,2.70,61.30,13.98,2.18,1191.69,134
2760.17,2711.74,2913.98,97.13,3.149,2.871,3.70,2.30,59.80,20.27,2.20,1214.14,250
2506.85,2760.17,2711.74,97.27,2.993,2.797,3.70,2.50,57.70,17.67,2.20,1221.88,155
2704.10,2506.85,2760.17,96.17,2.686,2.496,3.70,2.20,59.30,24.17,2.40,1282.73,312
2784.49,2704.10,2506.85,95.58,2.633,2.464,3.90,1.90,54.10,17.13,2.40,1320.56,304
2834.40,2784.49,2704.10,96.16,2.717,2.518,4.00,1.60,56.60,15.57,2.40,1312.66,20
2945.83,2834.40,2784.49,97.28,2.407,2.266,3.80,1.50,54.20,15.23,2.43,1291.90,196
2752.06,2945.83,2834.40,97.48,2.504,2.266,3.80,1.90,55.30,14.43,2.45,1283.35,263
2941.76,2752.06,2945.83,97.75,2.133,1.924,3.60,2.00,52.80,18.17,2.40,1305.25,75
2980.38,2941.76,2752.06,96.13,2.007,1.757,3.60,1.80,52.10,15.52,2.40,1409.10,224
2926.46,2980.38,2941.76,98.52,2.007,1.868,3.70,1.60,51.70,16.08,2.40,1413.55,164
2976.74,2926.46,2980.38,98.92,1.499,1.510,3.70,1.80,51.20,18.83,2.13,1519.85,130
3037.56,2976.74,2926.46,99.38,1.668,1.626,3.70,1.70,49.10,17.13,1.90,1472.00,136
3140.98,3037.56,2976.74,97.35,1.688,1.526,3.50,1.70,47.80,15.27,1.58,1513.16,128
3230.78,3140.98,3037.56,98.27,1.774,1.612,3.60,1.80,48.30,14.13,1.56,1463.90,266
3225.52,3230.78,3140.98,96.39,1.919,1.571,3.50,2.10,48.10,14.63,1.55,1517.01,145
2954.22,3225.52,3230.78,97.39,1.505,1.319,3.50,2.30,47.20,18.23,1.59,1589.81,225
2584.59,2954.22,3225.52,98.13,1.163,0.931,3.60,2.50,50.90,26.33,1.58,1584.74,273
2912.43,2584.59,2954.22,99.05,0.668,0.253,3.50,2.30,50.10,46.78,0.08,1571.05,-701
3044.31,2912.43,2584.59,99.02,0.646,0.201,4.40,1.50,49.10,33.97,0.05,1680.09,-20537
3100.29,3044.31,2912.43,98.34,0.653,0.164,14.70,0.30,41.50,28.83,0.05,1726.30,2509
3271.12,3100.29,3044.31,97.39,0.658,0.154,13.30,0.10,43.10,30.88,0.08,1780.67,4800
3500.31,3271.12,3100.29,93.35,0.533,0.109,11.10,0.60,52.60,26.83,0.10,1974.69,1763
3363.00,3500.31,3271.12,92.14,0.706,0.133,10.20,1.00,54.20,27.88,0.09,1969.75,1371
3269.96,3363.00,3500.31,93.89,0.686,0.131,8.40,1.30,56.00,30.38,0.09,1885.44,661
3621.63,3269.96,3363.00,94.04,0.874,0.156,7.90,1.40,55.40,34.10,0.09,1877.95,638
3756.07,3621.63,3269.96,91.87,0.842,0.150,6.90,1.20,59.30,22.38,0.09,1777.02,245
3714.24,3756.07,3621.63,89.94,0.916,0.123,6.70,1.20,57.50,23.67,0.09,1896.49,-140
3811.15,3714.24,3756.07,90.58,1.071,0.111,6.70,1.40,60.70,32.39,0.07,1846.09,49
3972.89,3811.15,3714.24,90.88,1.407,0.129,6.30,1.40,58.70,26.74,0.07,1733.49,379
4181.17,3972.89,3811.15,93.23,1.744,0.162,6.20,1.70,60.80,20.73,0.06,1707.01,916
4204.11,4181.17,3972.89,91.28,1.626,0.162,6.00,2.60,64.70,20.44,0.05,1768.59,266
4297.50,4204.11,4181.17,90.03,1.581,0.141,6.10,4.20,60.70,19.13,0.05,1906.36,559
4395.26,4297.50,4204.11,92.44,1.468,0.252,5.80,5.00,61.20,17.90,0.08,1769.80,850
4522.68,4395.26,4297.50,92.17,1.226,0.188,5.90,5.40,60.60,20.27,0.07,1813.58,943
4307.54,4522.68,4395.26,92.63,1.307,0.211,5.40,5.40,59.50,18.62,0.06,1813.43,235
4605.38,4307.54,4522.68,94.23,1.492,0.281,5.20,5.30,59.90,22.87,0.06,1756.66,194
4567.00,4605.38,4307.54,94.12,1.561,0.501,4.80,5.40,61.10,18.78,0.07,1782.81,531
4766.18,4567.00,4605.38,95.99,1.456,0.567,4.60,6.20,60.80,25.69,0.07,1773.78,210
4515.55,4766.18,4567.00,95.97,1.512,0.734,4.20,6.80,61.10,19.67,0.07,1828.39,199
4373.94,4515.55,4766.18,96.54,1.784,1.185,3.90,7.00,58.70,24.85,0.08,1796.47,467
4530.41,4373.94,4515.55,96.71,1.822,1.436,4.00,7.50,57.60,28.62,0.08,1907.90,678
4131.93,4530.41,4373.94,98.31,2.345,2.335,3.80,7.90,58.60,23.47,0.33,1937.23,431
4132.15,4131.93,4530.41,102.96,2.938,2.731,3.60,8.50,57.10,31.65,0.33,1896.40,428
3785.38,4132.15,4131.93,101.75,2.849,2.563,3.60,8.30,55.40,26.41,0.83,1837.09,390
4130.29,3785.38,4132.15,104.68,3.017,2.955,3.60,8.60,56.10,28.56,1.58,1806.89,372
3955.00,4130.29,3785.38,105.90,2.658,2.891,3.60,9.10,53.00,23.42,2.32,1765.22,528
3585.62,3955.00,4130.29,108.70,3.196,3.495,3.50,8.50,52.80,25.79,2.33,1710.70,315
3871.98,3585.62,3955.00,112.12,3.829,4.273,3.70,8.30,52.80,31.52,3.08,1659.67,263
4080.11,3871.98,3585.62,111.53,4.050,4.486,3.50,8.20,50.90,25.88,3.08,1633.12,261
3839.50,4080.11,3871.98,105.95,3.611,4.329,3.70,7.70,50.20,22.12,3.83,1768.45,263
4076.60,3839.50,4080.11,103.52,3.879,4.428,3.70,7.10,49.00,23.10,4.33,1824.40,223
3970.15,4076.60,3839.50,102.10,3.510,4.205,3.50,6.50,48.40,19.53,4.33,1927.88,517
4109.31,3970.15,4076.60,104.87,3.928,4.818,3.40,6.40,47.40,20.78,4.57,1827.15,311
4169.48,4109.31,3970.15,102.51,3.473,4.038,3.60,6.00,47.70,20.76,4.83,1967.90,236
4179.83,4169.48,4109.31,101.66,3.433,4.021,3.50,5.00,46.30,18.44,4.83,1989.65,253
4450.38,4179.83,4169.48,104.33,3.646,4.409,3.40,4.90,47.10,18.87,5.08,1962.30,339
4588.96,4450.38,4179.83,102.91,3.841,4.904,3.70,4.00,46.90,15.01,5.08,1919.57,209
4507.66,4588.96,4450.38,101.86,3.967,4.885,3.60,3.00,46.00,14.86,5.33,1964.19,187
4288.05,4507.66,4588.96,103.62,4.106,4.863,3.50,3.20,46.40,15.04,5.33,1939.74,187
4193.80,4288.05,4507.66,106.22,4.579,5.052,3.80,3.70,47.60,17.77,5.33,1848.31,336
4567.80,4193.80,4288.05,106.66,4.926,5.083,3.80,3.70,49.00,18.13,5.33,1982.70,150
4769.83,4567.80,4193.80,103.50,4.330,4.695,3.90,3.20,46.70,13.76,5.33,2035.75,199
4845.65,4769.83,4567.80,101.33,3.866,4.250,3.70,3.10,46.70,14.05,5.33,2062.59,216
5096.27,4845.65,4769.83,103.27,3.918,4.209,3.70,3.40,47.40,14.87,5.33,2037.19,353
5254.35,5096.27,4845.65,104.16,4.254,4.623,3.70,3.10,49.10,14.01,5.33,2043.24,275
5035.69,5254.35,5096.27,104.55,4.206,4.628,3.90,3.20,47.80,14.37,5.33,2232.38,303
5277.51,5035.69,5254.35,106.22,4.682,5.037,3.80,3.50,50.30,15.66,5.33,2285.57,175
5460.48,5277.51,5035.69,104.67,4.503,4.877,3.90,3.40,49.20,13.79,5.33,2326.97,272
5522.30,5460.48,5277.51,105.87,4.392,4.749,4.00,3.30,48.70,14.02,5.33,2325.71,206
5648.40,5522.30,5460.48,104.10,4.033,4.260,4.10,3.00,48.50,16.00,5.33,2448.10,114
5762.48,5648.40,5522.30,101.70,3.909,3.919,4.30,2.90,46.80,15.41,5.33,2503.03,142
5705.45,5762.48,5648.40,100.78,3.786,3.644,4.20,2.50,47.20,18.84,4.83,2634.49,254
6032.38,5705.45,5762.48,103.98,4.281,4.168,4.10,2.40,47.20,20.96,4.83,2743.80,12
5881.63,6032.38,5705.45,105.74,4.177,4.160,4.10,2.60,46.50,14.85,4.58,2653.55,227
6040.53,5881.63,6032.38,108.49,4.572,4.236,4.20,2.70,48.40,17.52,4.33,2623.81,256